"","member_casual","weekday","number_of_rides","average_duration"
"1","casual","Sun",476943,36.8354394550292
"2","casual","Mon",289000,30.913384083045
"3","casual","Tue",270520,26.3369769333136
"4","casual","Wed",284839,26.9620592685692
"5","casual","Thu",298023,27.757465027867
"6","casual","Fri",358171,29.0920342517959
"7","casual","Sat",558554,34.0585941556233
"8","member","Sun",388006,14.8709710674577
"9","member","Mon",445618,12.4882881750737
"10","member","Tue",498667,12.0520627994233
"11","member","Wed",506939,12.2153789706454
"12","member","Thu",485825,12.2373282560593
"13","member","Fri",453272,12.6889461515382
"14","member","Sat",442715,14.5894966287566
